species,Baltra,Bartolomé,Española,Fernandina,Floreana,Genovesa,Isabella,Marchena,North_Seymour,Pinzón,Pinta,Rábida,San_Cristóbal,Santa_Cruz,Santa_Fe,Santiago
Phalacrocorax harrisi,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Buteo galapagoensis,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1
Laterallus spilonota,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1
Zenaida galapagoensis,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Myiarchus magnirostris,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Progne modesta,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1
Mimus parvulus,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1
Mimus trifasciatus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mimus macdonaldi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimus melanotis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Geospiza magnirostris,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1
Geospiza fortis,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1
Geospiza fuliginosa,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Geospiza difficilis,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
Geospiza scandens,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
Geospiza conirostris,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Platyspiza crassirostris,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1
Camarhynchus psittacula,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1
Camarhynchus pauper,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Camarhynchus parvulus,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1
Camarhynchus pallidus,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1
Camarhynchus heliobates,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Certhidea olivacea,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1
Certhidea fusca,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0
