V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,6,21,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,14,8,1,0,0,0,0,0,0,0,0,0,0,0,0,17,26,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,5,3,12,8,10,15,17,20,4,0,0,0,0,0,0,0,0,0,0,0,18,28,28,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,16,16,21,16,13,16,22,17,23,26,32,24,20,23,23,4,0,0,20,35,22,31,44,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,9,8,17,9,12,14,25,21,30,33,42,34,41,45,60,57,56,62,55,50,37,30,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,1,0,0,1,5,8,7,2,2,9,5,5,7,10,7,10,11,11,14,15,22,31,40,48,52,43,44,48,59,51,37,36,19,20,30,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,3,1,3,5,2,1,4,3,7,8,4,10,5,16,12,7,4,5,8,12,14,16,23,36,50,49,54,51,41,48,62,64,58,47,29,26,33,37,27,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,6,7,1,2,4,1,5,11,13,6,8,5,10,6,15,9,4,5,10,13,14,13,25,21,42,47,46,46,36,26,48,57,58,44,34,23,29,33,34,35,35,19,8,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,7,6,6,3,0,0,4,3,6,9,6,6,1,3,12,4,15,7,4,5,6,13,15,19,29,32,43,47,55,53,34,29,49,84,68,63,51,41,34,35,34,29,34,31,32,14,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,4,10,3,4,0,0,1,5,9,2,3,3,2,3,6,12,9,16,7,7,7,8,12,12,13,11,40,56,51,45,55,41,46,47,67,58,55,57,57,55,45,37,30,38,35,29,23,7,0,0,0,0,0,0,0,0,0,0
14,0,0,0,14,11,11,5,3,4,1,7,9,7,8,2,1,5,3,8,10,8,4,7,7,10,10,12,16,21,44,51,48,48,51,58,65,51,62,74,60,60,70,62,67,51,38,33,36,27,22,8,0,0,0,0,0,0,0,0,0,0
15,0,0,25,19,13,10,3,1,0,3,2,6,5,6,7,5,4,6,6,7,4,3,3,5,8,11,13,22,20,28,32,35,39,46,45,70,61,44,41,47,46,43,46,54,49,34,32,32,31,28,9,0,0,0,0,0,0,0,0,0,0
16,0,15,22,26,18,6,5,2,2,4,1,2,6,6,8,7,5,3,8,5,5,5,6,8,8,11,12,20,22,28,28,27,50,56,63,53,35,50,46,51,37,44,48,34,33,30,26,29,37,33,17,1,0,0,0,0,0,0,0,0,0
17,0,14,10,21,11,5,4,4,3,2,1,4,4,7,10,8,7,2,5,7,5,3,4,9,10,12,13,17,24,32,30,30,37,39,55,37,43,51,40,34,55,41,41,43,31,20,19,25,32,37,30,10,0,0,0,0,0,0,0,0,0
18,13,10,24,23,5,6,5,2,4,4,1,1,5,11,12,13,7,2,5,7,10,9,8,9,11,13,19,16,17,30,24,24,25,38,49,50,34,37,46,34,33,33,33,32,39,22,19,18,22,27,32,25,23,8,0,0,0,0,0,0,0
19,10,9,14,15,9,1,3,3,9,6,3,7,9,8,15,8,4,4,5,7,6,12,10,12,16,16,14,16,33,31,22,32,28,35,53,50,41,50,59,55,45,42,43,42,44,32,23,13,14,19,20,26,30,27,20,8,0,0,0,0,0
20,13,11,16,15,6,3,3,10,6,11,8,11,9,11,14,5,8,9,7,9,11,9,11,11,16,17,25,30,37,21,24,27,25,37,51,41,36,30,42,38,29,33,37,26,36,40,36,29,36,24,11,23,21,20,12,4,0,0,0,0,0
21,19,17,20,10,2,9,6,10,14,12,5,6,10,10,9,8,7,7,4,3,4,7,7,6,7,12,17,13,25,29,21,20,29,45,36,32,32,31,43,38,20,24,35,23,23,22,42,31,37,28,20,22,16,18,20,13,5,0,0,0,0
22,15,25,17,13,8,14,10,11,13,10,3,9,7,10,14,10,8,6,8,6,7,8,8,6,12,10,7,8,17,19,21,20,45,47,24,22,32,31,32,36,24,24,24,20,27,24,19,10,24,29,25,28,22,13,9,13,14,14,10,9,6
23,6,18,28,16,10,15,14,15,16,13,8,12,8,7,11,11,8,8,7,4,3,5,6,8,12,5,5,6,16,16,16,21,36,26,21,20,22,26,31,32,33,31,25,23,26,20,12,9,17,25,27,30,23,12,8,8,8,7,17,13,4
24,13,28,18,8,15,14,12,12,15,16,7,11,7,6,8,5,5,7,7,10,8,9,8,12,12,6,9,13,20,12,13,13,23,33,31,25,27,25,27,27,31,20,19,19,8,10,9,8,5,2,2,3,16,17,9,6,7,7,7,6,3
25,18,20,28,11,14,4,3,10,17,14,4,12,8,10,16,12,13,11,12,12,12,11,11,13,7,5,4,8,18,13,14,16,15,11,17,19,20,13,6,5,6,5,2,0,0,1,1,1,1,1,2,2,2,3,7,10,6,7,5,1,3
26,13,20,25,9,10,10,4,7,17,10,4,12,7,12,12,8,8,7,13,11,11,7,4,5,3,3,3,8,10,8,14,13,13,12,10,14,13,15,10,7,4,1,0,0,0,1,0,0,0,0,0,0,0,1,2,4,2,1,0,1,1
